sample,0,1,2,3,4,5
barcode01,860.0,25.0,18.0,244.0,546.0,297.0
barcode02,1721.0,63.0,63.0,1073.0,1310.0,214.0
barcode03,96.0,0.0,0.0,1.0,1.0,0.0
barcode04,19.0,0.0,0.0,0.0,0.0,0.0
barcode05,1950.0,9.0,9.0,16.0,58.0,45.0
barcode06,1687.0,2.0,1.0,10.0,39.0,26.0
barcode07,4081.0,13.0,14.0,61.0,164.0,98.0
barcode08,1835.0,0.0,0.0,2.0,29.0,27.0
barcode09,497.0,0.0,0.0,2.0,5.0,3.0
barcode10,76.0,0.0,0.0,0.0,0.0,0.0
barcode11,1346.0,0.0,0.0,2.0,6.0,5.0
barcode12,388.0,0.0,0.0,2.0,2.0,0.0
barcode13,2.0,0.0,0.0,0.0,0.0,0.0
barcode14,4.0,0.0,0.0,0.0,0.0,0.0
barcode15,0.0,0.0,0.0,0.0,0.0,0.0
barcode16,1.0,0.0,0.0,0.0,0.0,0.0
barcode17,1.0,0.0,0.0,0.0,0.0,0.0
