sample,Season,Place,Date,gc/µL in sample,rerun,conc,Date_Location,index_plot,week,year,amplicon,read_count,segment
barcode01,2022/2023,CDA Lugano,2022_12_06 ,18.525 ,no,18.525,2022_12_06 -CDA Lugano,"",49,,amp1,0,N2
barcode01,2022/2023,CDA Lugano,2022_12_06 ,18.525 ,no,18.525,2022_12_06 -CDA Lugano,"",49,,amp2,1,N2
barcode01,2022/2023,CDA Lugano,2022_12_06 ,18.525 ,no,18.525,2022_12_06 -CDA Lugano,"",49,,amp3,6,N2
barcode01,2022/2023,CDA Lugano,2022_12_06 ,18.525 ,no,18.525,2022_12_06 -CDA Lugano,"",49,,amp4,0,N2
barcode02,2022/2023,CDA Lugano,2022_12_24 ,44.325 ,no,44.325,2022_12_24 -CDA Lugano,"",51,,amp1,0,N2
barcode02,2022/2023,CDA Lugano,2022_12_24 ,44.325 ,no,44.325,2022_12_24 -CDA Lugano,"",51,,amp2,0,N2
barcode02,2022/2023,CDA Lugano,2022_12_24 ,44.325 ,no,44.325,2022_12_24 -CDA Lugano,"",51,,amp3,5,N2
barcode02,2022/2023,CDA Lugano,2022_12_24 ,44.325 ,no,44.325,2022_12_24 -CDA Lugano,"",51,,amp4,2,N2
barcode03,2022/2023,CDA Lugano,2023_01_01 ,23.325 ,no,23.325,2023_01_01 -CDA Lugano,"",52,2023,amp1,0,N2
barcode03,2022/2023,CDA Lugano,2023_01_01 ,23.325 ,no,23.325,2023_01_01 -CDA Lugano,"",52,2023,amp2,0,N2
barcode03,2022/2023,CDA Lugano,2023_01_01 ,23.325 ,no,23.325,2023_01_01 -CDA Lugano,"",52,2023,amp3,0,N2
barcode03,2022/2023,CDA Lugano,2023_01_01 ,23.325 ,no,23.325,2023_01_01 -CDA Lugano,"",52,2023,amp4,1,N2
barcode04,2022/2023,ARA Werdhoelzli,2022_12_05 ,26.475 ,no,26.475,2022_12_05 -ARA Werdhoelzli,"",49,,amp1,0,N2
barcode04,2022/2023,ARA Werdhoelzli,2022_12_05 ,26.475 ,no,26.475,2022_12_05 -ARA Werdhoelzli,"",49,,amp2,1,N2
barcode04,2022/2023,ARA Werdhoelzli,2022_12_05 ,26.475 ,no,26.475,2022_12_05 -ARA Werdhoelzli,"",49,,amp3,9,N2
barcode04,2022/2023,ARA Werdhoelzli,2022_12_05 ,26.475 ,no,26.475,2022_12_05 -ARA Werdhoelzli,"",49,,amp4,0,N2
barcode05,2022/2023,ARA Werdhoelzli,2022_12_18 ,113.18 ,no,113.18,2022_12_18 -ARA Werdhoelzli,"",50,,amp1,0,N2
barcode05,2022/2023,ARA Werdhoelzli,2022_12_18 ,113.18 ,no,113.18,2022_12_18 -ARA Werdhoelzli,"",50,,amp2,242,N2
barcode05,2022/2023,ARA Werdhoelzli,2022_12_18 ,113.18 ,no,113.18,2022_12_18 -ARA Werdhoelzli,"",50,,amp3,18,N2
