week,Clade,year,Clade_count,total_count,relative_abundance_gisaid,relative_abundance_ww_deconv_lin
01,6B.1A.5a.2a,2024,599,806,0.74317617866005,0.624901176079092
01,6B.1A.5a.2a.1,2024,207,806,0.25682382133995,0.345644719933912
02,6B.1A.5a.2a,2024,618,760,0.813157894736842,0.68223545559079
02,6B.1A.5a.2a.1,2024,140,760,0.184210526315789,0.289155575170692
03,6B.1A.5a.2a,2024,636,760,0.836842105263158,0.706307597538997
03,6B.1A.5a.2a.1,2024,120,760,0.157894736842105,0.266369803322379
04,6B.1A.5a.2a,2024,737,855,0.861988304093567,0.697563152714505
04,6B.1A.5a.2a.1,2024,115,855,0.134502923976608,0.272569186609112
05,6B.1A.5a.2a,2024,773,876,0.882420091324201,0.838003533306748
05,6B.1A.5a.2a.1,2024,100,876,0.114155251141553,0.141042835612209
06,6B.1A.5a.2a,2024,658,714,0.92156862745098,0.886940163301014
06,6B.1A.5a.2a.1,2024,54,714,0.0756302521008403,0.107719268396306
07,6B.1A.5a.2a,2024,534,590,0.905084745762712,0.9126570062108
07,6B.1A.5a.2a.1,2024,55,590,0.0932203389830508,0.0585134313395596
08,6B.1A.5a.2a,2024,364,403,0.903225806451613,0.88668343877112
08,6B.1A.5a.2a.1,2024,39,403,0.0967741935483871,0.0864369438699875
49,6B.1A.5a.2a,2023,327,472,0.692796610169492,0.69576970705475
49,6B.1A.5a.2a.1,2023,145,472,0.307203389830509,0.276683491910105
50,6B.1A.5a.2a,2023,490,679,0.721649484536083,0.700465876927334
50,6B.1A.5a.2a.1,2023,188,679,0.276877761413844,0.273450651739319
51,6B.1A.5a.2a,2023,540,719,0.751043115438109,0.679943979544677
51,6B.1A.5a.2a.1,2023,177,719,0.246175243393602,0.307064385112078
52,6B.1A.5a.2a,2023,577,804,0.717661691542289,0.75684043459595
52,6B.1A.5a.2a.1,2023,225,804,0.279850746268657,0.239192957436441
