Barcode,Season,Place,Date,
01 ,2023/2024 ,STEP Aire,2023_12_09,
02 ,2023/2024 ,STEP Aire,2023_12_12 ,
03 ,2023/2024 ,STEP Aire,2023_12_19,
04 ,2023/2024 ,STEP Aire,2023_12_25,
05 ,2023/2024 ,STEP Aire,2024_01_04,
06 ,2023/2024 ,STEP Aire,2024_01_10,
07 ,2023/2024 ,STEP Aire,2024_01_15,
08 ,2023/2024 ,STEP Aire,2024_01_23,
09 ,2023/2024 ,STEP Aire,2024_01_30,
10 ,2023/2024 ,STEP Aire,2024_02_06,
11 ,2023/2024 ,STEP Aire,2024_02_15,
12 ,2023/2024 ,STEP Aire,2024_02_20,
13 ,2023/2024 ,STEP Aire,2024_02_27,
14 ,2023/2024 ,STEP Aire,2024_03_06,
15 ,2023/2024 ,STEP Aire,2024_03_12,
16 ,2023/2024 ,STEP Aire,2024_03_20,
17 ,2023/2024 ,STEP Aire,2024_03_28,
